Day,coculture,media,OD_R1,OD_R2,OD_R3,OD_R4,CFUs_pheA,CFUs_leuB,CFUs_metA
1,FM,M9,0.107,0.104,0.116,0.112,,,
1,FM,fm,0.2,0.241,0.214,0.2,,,
1,FM,f,0.164,0.2,0.16,0.158,,,
1,FM,m,0.193,0.166,0.158,0.165,,,
2,FM,M9,0.092,0.086,0.094,0.09,,,
2,FM,fm,0.205,0.209,0.207,0.195,,,
2,FM,f,0.2,0.198,0.196,0.195,,,
2,FM,m,0.214,0.174,0.2,0.207,,,
3,FM,M9,0.088,0.096,0.087,0.088,,,
3,FM,fm,0.244,0.241,0.264,0.267,,,
3,FM,f,0.191,0.199,0.196,0.204,,,
3,FM,m,0.217,0.212,0.216,0.238,,,
4,FM,M9,0.092,0.089,0.089,0.088,,,
4,FM,fm,0.234,0.209,0.2,0.19,,,
4,FM,f,0.539,0.545,0.384,0.365,,,
4,FM,m,0.463,0.474,0.471,0.479,,,
5,FM,M9,0.105,0.124,0.09,0.097,0,0,0
5,FM,fm,0.236,0.27,0.273,0.218,2,0,572
5,FM,f,0.482,0.418,0.577,0.445,391,0,21
5,FM,m,0.427,0.424,0.431,0.521,0,0,306
1,LF,M9,0.196,0.193,0.171,0.202,,,
1,LF,fl,0.208,0.187,0.195,0.195,,,
1,LF,f,0.172,0.174,0.178,0.18,,,
1,LF,l,0.134,0.133,0.13,0.137,,,
2,LF,M9,0.134,0.141,0.173,0.146,,,
2,LF,fl,0.193,0.186,0.209,0.215,,,
2,LF,f,0.206,0.217,0.228,0.226,,,
2,LF,l,0.089,0.084,0.086,0.084,,,
3,LF,M9,0.463,0.363,0.488,0.49,,,
3,LF,fl,0.237,0.234,0.221,0.247,,,
3,LF,f,0.208,0.22,0.208,0.214,,,
3,LF,l,0.088,0.086,0.084,0.085,,,
4,LF,M9,0.404,0.352,0.362,0.372,,,
4,LF,fl,0.194,0.206,0.196,0.191,,,
4,LF,f,0.381,0.389,0.589,0.571,,,
4,LF,l,0.086,0.084,0.084,0.087,,,
5,LF,M9,0.444,0.329,0.392,0.407,1606,285,0
5,LF,fl,0.182,0.208,0.237,0.23,1545,0,0
5,LF,f,0.432,0.601,0.519,0.56,1208,67,0
5,LF,l,0.14,0.147,0.144,0.148,157,8,0
1,LM,M9,0.154,0.139,0.136,0.131,,,
1,LM,lm,0.216,0.209,0.181,0.229,,,
1,LM,l,0.123,0.122,0.121,0.137,,,
1,LM,m,0.165,0.169,0.173,0.208,,,
2,LM,M9,0.088,0.097,0.09,0.089,,,
2,LM,lm,0.194,0.202,0.206,0.203,,,
2,LM,l,0.087,0.131,0.086,0.09,,,
2,LM,m,0.198,0.185,0.195,0.162,,,
3,LM,M9,0.092,0.085,0.085,0.086,,,
3,LM,lm,0.27,0.256,0.254,0.191,,,
3,LM,l,0.084,0.087,0.085,0.084,,,
3,LM,m,0.196,0.211,0.223,0.187,,,
4,LM,M9,0.091,0.088,0.092,0.089,,,
4,LM,lm,0.204,0.209,0.202,0.191,,,
4,LM,l,0.088,0.084,0.087,0.085,,,
4,LM,m,0.458,0.456,0.457,0.468,,,
5,LM,M9,0.141,0.139,0.138,0.131,0,0,5
5,LM,lm,0.269,0.277,0.269,0.282,0,0,765
5,LM,l,0.17,0.189,0.174,0.145,0,0,0
5,LM,m,0.497,0.487,0.52,0.452,0,0,4080